Corrugator_InterfaceType,1003,ObjectType
Server_Namespaces_http___opcfoundation_org_UA_PlasticsRubber_Extrusion_v2_Corrugator_,5001,Object
Corrugator_InterfaceType_MouldId,6001,Variable
Corrugator_InterfaceType_ExtruderEnabled,6002,Variable
Server_Namespaces_http___opcfoundation_org_UA_PlasticsRubber_Extrusion_v2_Corrugator__IsNamespaceSubset,6003,Variable
Server_Namespaces_http___opcfoundation_org_UA_PlasticsRubber_Extrusion_v2_Corrugator__NamespacePublicationDate,6004,Variable
Server_Namespaces_http___opcfoundation_org_UA_PlasticsRubber_Extrusion_v2_Corrugator__NamespaceUri,6005,Variable
Server_Namespaces_http___opcfoundation_org_UA_PlasticsRubber_Extrusion_v2_Corrugator__NamespaceVersion,6006,Variable
Server_Namespaces_http___opcfoundation_org_UA_PlasticsRubber_Extrusion_v2_Corrugator__StaticNodeIdTypes,6007,Variable
Server_Namespaces_http___opcfoundation_org_UA_PlasticsRubber_Extrusion_v2_Corrugator__StaticNumericNodeIdRange,6008,Variable
Server_Namespaces_http___opcfoundation_org_UA_PlasticsRubber_Extrusion_v2_Corrugator__StaticStringNodeIdPattern,6009,Variable
