Id,Name,Link,ConformanceUnits
1001,MachineModuleProductionStateMachineType,"https://reference.opcfoundation.org/TMC/v200/docs/8.39","TMC Single PO Production;"
1002,MachineModuleSpecificationType,"https://reference.opcfoundation.org/TMC/v200/docs/8.6.1","TMC Single PO Production;TMC Asset Management;"
1003,MaterialLoadingPointType,"https://reference.opcfoundation.org/TMC/v200/docs/8.8.1","TMC Core Production;"
1004,MachineModuleType,"https://reference.opcfoundation.org/TMC/v200/docs/8.1.1","TMC Data Collection;TMC Core Production;TMC Process Variables Ingestion and Control;TMC Intralogistics at the machine;"
1005,MachineModuleLiveStatusType,"https://reference.opcfoundation.org/TMC/v200/docs/8.4.1","TMC Basic Machine Status;TMC Advanced Machine Status;"
1006,LogbookEventType,"https://reference.opcfoundation.org/TMC/v200/docs/9.1",""
1009,MachineModuleProductionType,"https://reference.opcfoundation.org/TMC/v200/docs/8.5.1","TMC Core Production;TMC Single PO Production;TMC Multi PO Production;"
1010,ControlModeChangeLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.12",""
1011,ProductionContextLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.17",""
1012,MachineModuleHistoricalRecordType,"https://reference.opcfoundation.org/TMC/v200/docs/8.2.1","TMC Asset Management;"
1013,MachineModuleConfigurationType,"https://reference.opcfoundation.org/TMC/v200/docs/8.3.1","TMC Data Collection;TMC Single PO Production;TMC Multi PO Production;"
1014,RootCauseListChangeLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.15",""
1015,StopReasonListChangeLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.16",""
1016,MachineModuleSetupType,"https://reference.opcfoundation.org/TMC/v200/docs/8.7.1","TMC Single PO Production;TMC Advanced Setup;"
1017,DataSetChangeLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.18",""
1018,TMCStateMachineType,"https://reference.opcfoundation.org/TMC/v200/docs/8.41.1","TMC Advanced Equipment Module and Control Module Status;"
1019,TMCMachineStateMachineType,"https://reference.opcfoundation.org/TMC/v200/docs/8.43.1","TMC Advanced Machine Status;"
1020,UIInformationType,"https://reference.opcfoundation.org/TMC/v200/docs/8.24.1","TMC Advanced Visualisation and Control;"
1021,StateChangeLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.26",""
1022,MachineModuleSpecificationChangeLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.13",""
1023,MaterialRejectionPointType,"https://reference.opcfoundation.org/TMC/v200/docs/8.11.1","TMC Data Collection;"
1024,DowntimeLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.21",""
1025,DefectDetectionSensorType,"https://reference.opcfoundation.org/TMC/v200/docs/8.12.1","TMC Quality Assurance and Control;"
1026,DefectDetectedLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.19",""
1027,MaterialRejectedLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.33",""
1028,TMCExecuteStateMachineType,"https://reference.opcfoundation.org/TMC/v200/docs/8.42.1","TMC Advanced Equipment Module and Control Module Status;"
1029,RejectionModeChangeLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.25",""
1030,MaterialOutputProducedLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.32",""
1031,ProcessItemResetLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.24",""
1032,LoadingPointUnloadedLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.29",""
1033,MaterialConsumedLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.30",""
1034,MaterialUnloadingRequiredLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.34",""
1035,MaterialStorageBufferType,"https://reference.opcfoundation.org/TMC/v200/docs/8.10","TMC Core Production;"
1036,RootCauseGroupListChangeLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.14",""
1037,MaterialOutputPointType,"https://reference.opcfoundation.org/TMC/v200/docs/8.9.1","TMC Data Collection;"
1038,NewPresentedMaterialLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.35",""
1039,IntegrityRejectedMaterialLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.28",""
1040,ProcessControlItemType,"https://reference.opcfoundation.org/TMC/v200/docs/8.45.1",""
1041,DefectReasonType,"https://reference.opcfoundation.org/TMC/v200/docs/8.14.1","TMC Quality Assurance and Control;"
1043,UserInterfaceType,"https://reference.opcfoundation.org/TMC/v200/docs/8.37.1","TMC Advanced Visualisation and Control;"
1044,SensorFunctionType,"https://reference.opcfoundation.org/TMC/v200/docs/8.13.1","TMC Quality Assurance and Control;"
1045,DetectionModeChangeLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.20",""
1046,ProcessItemType,"https://reference.opcfoundation.org/TMC/v200/docs/8.44.1","TMC Process Variables Ingestion and Control;"
1047,ControlModuleConfigurationType,"https://reference.opcfoundation.org/TMC/v200/docs/8.21.1","TMC Basic Visualisation and Control;"
1048,ExternalAlarmType,"https://reference.opcfoundation.org/TMC/v200/docs/9.37.1",""
1049,ProcessControlLoopType,"https://reference.opcfoundation.org/TMC/v200/docs/8.46.1","TMC Process Variables Ingestion and Control;"
1050,ControlModuleLiveStatusType,"https://reference.opcfoundation.org/TMC/v200/docs/8.22.1","TMC Basic Visualisation and Control;"
1051,ControlModuleAggregatesType,"https://reference.opcfoundation.org/TMC/v200/docs/8.30.1","TMC Basic Visualisation and Control;"
1052,ControlModuleSetupType,"https://reference.opcfoundation.org/TMC/v200/docs/8.23.1","TMC Basic Visualisation and Control;"
1053,ValveAggregatesType,"https://reference.opcfoundation.org/TMC/v200/docs/8.32","TMC Basic Visualisation and Control;"
1054,MotorAggregatesType,"https://reference.opcfoundation.org/TMC/v200/docs/8.31","TMC Basic Visualisation and Control;"
1055,CarrierSublotsChangeLogType,"https://reference.opcfoundation.org/TMC/v200/docs/9.4",""
1056,AnalogInputSetupType,"https://reference.opcfoundation.org/TMC/v200/docs/8.33","TMC Basic Visualisation and Control;"
1057,DigitalInputSetupType,"https://reference.opcfoundation.org/TMC/v200/docs/8.34","TMC Basic Visualisation and Control;"
1058,MotorSetupType,"https://reference.opcfoundation.org/TMC/v200/docs/8.35","TMC Basic Visualisation and Control;"
1059,ValveSetupType,"https://reference.opcfoundation.org/TMC/v200/docs/8.36","TMC Basic Visualisation and Control;"
1062,ControlModuleType,"https://reference.opcfoundation.org/TMC/v200/docs/8.19.1","TMC Basic Visualisation and Control;"
1063,AnalogInputType,"https://reference.opcfoundation.org/TMC/v200/docs/8.25","TMC Basic Visualisation and Control;"
1064,DigitalInputType,"https://reference.opcfoundation.org/TMC/v200/docs/8.26","TMC Basic Visualisation and Control;"
1065,MotorType,"https://reference.opcfoundation.org/TMC/v200/docs/8.27","TMC Basic Visualisation and Control;"
1066,SensorType,"https://reference.opcfoundation.org/TMC/v200/docs/8.28","TMC Basic Visualisation and Control;"
1067,ValveType,"https://reference.opcfoundation.org/TMC/v200/docs/8.29","TMC Basic Visualisation and Control;"
1068,EquipmentModuleConfigurationType,"https://reference.opcfoundation.org/TMC/v200/docs/8.16.1","TMC Basic Visualisation and Control;"
