Id,Name,Link,ConformanceUnits
1,SoftwareUpdateType,"https://reference.opcfoundation.org/v105/DI/v103/docs/8.4.1/#8.4.1.1","DI SU Software Update;"
135,SoftwareLoadingType,"https://reference.opcfoundation.org/v105/DI/v103/docs/8.4.2/#8.4.2.1","DI SU Software Update;"
137,PackageLoadingType,"https://reference.opcfoundation.org/v105/DI/v103/docs/8.4.3/#8.4.3.1","DI SU Software Update;"
153,DirectLoadingType,"https://reference.opcfoundation.org/v105/DI/v103/docs/8.4.4/#8.4.4.1","DI SU DirectLoading;"
171,CachedLoadingType,"https://reference.opcfoundation.org/v105/DI/v103/docs/8.4.5/#8.4.5.1","DI SU CachedLoading;"
192,FileSystemLoadingType,"https://reference.opcfoundation.org/v105/DI/v103/docs/8.4.6/#8.4.6.1","DI SU FileSystem Loading;"
212,SoftwareVersionType,"https://reference.opcfoundation.org/v105/DI/v103/docs/8.4.7/#8.4.7.1","DI SU Software Update;"
213,PrepareForUpdateStateMachineType,"https://reference.opcfoundation.org/v105/DI/v103/docs/8.4.8/#8.4.8.1","DI SU PrepareForUpdate;"
249,InstallationStateMachineType,"https://reference.opcfoundation.org/v105/DI/v103/docs/8.4.9/#8.4.9.1","DI SU Software Update;"
285,PowerCycleStateMachineType,"https://reference.opcfoundation.org/v105/DI/v103/docs/8.4.10","DI SU Manual Power Cycle;"
307,ConfirmationStateMachineType,"https://reference.opcfoundation.org/v105/DI/v103/docs/8.4.11/#8.4.11.1","DI SU Update Confirmation;"
331,SoftwareVersionFileType,"https://reference.opcfoundation.org/v105/DI/v103/docs/8.5.1",""
333,UpdateBehavior,"https://reference.opcfoundation.org/v105/DI/v103/docs/8.5.2","DI SU Software Update;"
1001,TopologyElementType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.3","DI Information Model;"
1002,DeviceType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.7","DI DeviceType;"
1003,BlockType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.11","DI Blocks;"
1004,ConfigurableObjectType,"https://reference.opcfoundation.org/v105/DI/v103/docs/9.2.2","DI Information Model;"
1005,FunctionalGroupType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.4.1","DI Information Model;"
1006,ProtocolType,"https://reference.opcfoundation.org/v105/DI/v103/docs/5.2","DI Network;DI Protocol;"
5001,DeviceSet,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.9","DI DeviceSet;"
6030,ConnectsTo,"https://reference.opcfoundation.org/v105/DI/v103/docs/5.5","DI ConnectsTo;"
6031,IsOnline,"https://reference.opcfoundation.org/v105/DI/v103/docs/6.3.2","DI Offline;"
6078,NetworkSet,"https://reference.opcfoundation.org/v105/DI/v103/docs/5.6","DI NetworkSet;"
6094,DeviceTopology,"https://reference.opcfoundation.org/v105/DI/v103/docs/6.2","DI DeviceTopology;"
6244,DeviceHealthEnumeration,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.5.4",""
6246,UIElementType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.4.3","DI Information Model;"
6247,NetworkType,"https://reference.opcfoundation.org/v105/DI/v103/docs/5.3","DI Network;"
6308,ConnectionPointType,"https://reference.opcfoundation.org/v105/DI/v103/docs/5.4","DI ConnectionPoint;"
6388,LockingServicesType,"https://reference.opcfoundation.org/v105/DI/v103/docs/7.2","DI Locking;"
6393,InitLock,"https://reference.opcfoundation.org/v105/DI/v103/docs/7.5",""
6396,RenewLock,"https://reference.opcfoundation.org/v105/DI/v103/docs/7.7",""
6398,ExitLock,"https://reference.opcfoundation.org/v105/DI/v103/docs/7.6",""
6400,BreakLock,"https://reference.opcfoundation.org/v105/DI/v103/docs/7.8",""
6467,ConnectsToParent,"https://reference.opcfoundation.org/v105/DI/v103/docs/5.5","DI ConnectsTo;"
6522,FetchResultDataType,"https://reference.opcfoundation.org/v105/DI/v103/docs/6.4.6",""
6525,ParameterResultDataType,"https://reference.opcfoundation.org/v105/DI/v103/docs/6.4.6",""
6526,TransferServicesType,"https://reference.opcfoundation.org/v105/DI/v103/docs/6.4.2","DI Offline;"
6527,TransferToDevice,"https://reference.opcfoundation.org/v105/DI/v103/docs/6.4.4",""
6529,TransferFromDevice,"https://reference.opcfoundation.org/v105/DI/v103/docs/6.4.5",""
6531,FetchTransferResultData,"https://reference.opcfoundation.org/v105/DI/v103/docs/6.4.6",""
15001,http://opcfoundation.org/UA/DI/,"https://reference.opcfoundation.org/v105/DI/v103/docs/11.1",""
15034,DeviceFeatures,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.10","DI DeviceSet;"
15035,IVendorNameplateType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.5.2","DI Nameplate;"
15048,ITagNameplateType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.5.3","DI TagNameplate;"
15051,IDeviceHealthType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.5.4","DI DeviceHealth;"
15054,ISupportInfoType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.5.5","DI DeviceSupportInfo;"
15063,ComponentType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.6","DI Information Model;"
15106,SoftwareType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.8","DI Software Component;"
15143,DeviceHealthDiagnosticAlarmType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.12.2","DI HealthDiagnosticsAlarm;"
15292,FailureAlarmType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.12.3","DI HealthDiagnosticsAlarm;"
15441,CheckFunctionAlarmType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.12.4","DI HealthDiagnosticsAlarm;"
15590,OffSpecAlarmType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.12.5","DI HealthDiagnosticsAlarm;"
15739,MaintenanceRequiredAlarmType,"https://reference.opcfoundation.org/v105/DI/v103/docs/4.12.6","DI HealthDiagnosticsAlarm;"
15888,TransferResultErrorDataType,"https://reference.opcfoundation.org/v105/DI/v103/docs/6.4.6",""
15889,TransferResultDataDataType,"https://reference.opcfoundation.org/v105/DI/v103/docs/6.4.6",""
