IO-Link unitCode;NamespaceUri;UnitId;DisplayName;Description
1000;http://www.opcfoundation.org/UA/units/un/cefact;4932940;K;kelvin
1001;http://www.opcfoundation.org/UA/units/un/cefact;4408652;°C;degree Celsius
1002;http://www.opcfoundation.org/UA/units/un/cefact;4604232;°F;degree Fahrenheit
1003;http://www.opcfoundation.org/UA/units/un/cefact;4273208;°R;degree Rankine
1004;http://www.opcfoundation.org/UA/units/un/cefact;4405297;rad;radian
1005;http://www.opcfoundation.org/UA/units/un/cefact;17476;°;degree [unit of angle]
1006;http://www.opcfoundation.org/UA/units/un/cefact;4470321;';minute [unit of angle]
1007;http://www.opcfoundation.org/UA/units/un/cefact;4470322;"""";second [unit of angle]
1008;http://www.opcfoundation.org/UA/units/un/cefact;4274481;gon;gon
1009;http://www.opcfoundation.org/UA/units/un/cefact;4405296;rad;rad
1010;http://www.opcfoundation.org/UA/units/un/cefact;5067858;m;metre
1011;http://www.opcfoundation.org/UA/units/un/cefact;4936781;km;kilometre
1012;http://www.opcfoundation.org/UA/units/un/cefact;4410708;cm;centimetre
1013;http://www.opcfoundation.org/UA/units/un/cefact;5066068;mm;millimetre
1014;http://www.opcfoundation.org/UA/units/un/cefact;13384;µm;micrometre (micron)
1015;http://www.opcfoundation.org/UA/units/un/cefact;4404277;nm;nanometre
1016;http://www.opcfoundation.org/UA/units/un/cefact;4404530;pm;picometre
1017;http://www.opcfoundation.org/UA/units/un/cefact;4272433;Å;angstrom
1018;http://www.opcfoundation.org/UA/units/un/cefact;4607828;ft;foot
1019;http://www.opcfoundation.org/UA/units/un/cefact;4804168;in;inch
1020;http://www.opcfoundation.org/UA/units/un/cefact;5853764;yd;yard
1021;http://www.opcfoundation.org/UA/units/un/cefact;5459273;mile;mile (statute mile)
1022;http://www.opcfoundation.org/UA/units/un/cefact;5131593;n mile;nautical mile
1023;http://www.opcfoundation.org/UA/units/un/cefact;5067851;m²;square metre
1024;http://www.opcfoundation.org/UA/units/un/cefact;4934987;km²;square kilometre
1025;http://www.opcfoundation.org/UA/units/un/cefact;4410699;cm²;square centimetre
