Id,Name,Link,ConformanceUnits
1,PartLoadPrognosisType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.7","MachineTool PrognosisType;MachineTool Prognoses Dynamic List;"
2,PrognosisListType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.3","MachineTool PrognosisType;MachineTool Prognoses Dynamic List;"
3,PrognosisType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.4","MachineTool PrognosisType;"
4,ToolLoadPrognosisType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.12","MachineTool PrognosisType;MachineTool Prognoses Dynamic List;"
5,PartUnloadPrognosisType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.8","MachineTool PrognosisType;MachineTool Prognoses Dynamic List;"
6,UtilityChangePrognosisType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.14","MachineTool PrognosisType;MachineTool Prognoses Dynamic List;"
7,NotificationType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.1","MachineTool Notification – Errors and Alerts;MachineTool PrognosisType;MachineTool Prognoses Dynamic List;"
8,ProcessChangeoverPrognosisType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.9","MachineTool PrognosisType;MachineTool Prognoses Dynamic List;"
9,MaintenancePrognosisType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.5","MachineTool PrognosisType;MachineTool Prognoses Dynamic List;"
10,ManualActivityPrognosisType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.6","MachineTool PrognosisType;MachineTool Prognoses Dynamic List;"
11,MachineToolIdentificationType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.2.1","MachineTool Identification SoftwareInformation;MachineTool Identification Machinery additional;"
12,EquipmentType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.5.1","MachineTool MachineToolType Mandatory Nodes;MachineTool Equipment ToolIdentification;"
13,MachineToolType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.1","MachineTool MachineToolType Mandatory Nodes;MachineTool Components;"
14,MonitoringType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.3.1","MachineTool Monitoring Basic - Stacklight;MachineTool Monitoring Basic - PowerOnDuration;MachineTool Monitoring Basic - Channels;"
15,ProductionProgramStateMachineType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.4.10","MachineTool Production ProductionProgramStateMachineType;"
16,ChannelMonitoringType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.3.7","MachineTool Monitoring Basic - Channels;"
17,ProductionProgramTransitionEventType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/9.6","MachineTool Production ProductionProgramStateMachineType;"
18,ToolUnloadPrognosisType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.13","MachineTool PrognosisType;MachineTool Prognoses Dynamic List;"
