Id,Name,Link,ConformanceUnits
1003,HaulageMachineType,"https://reference.opcfoundation.org/Mining/TransportDumping/General/v100/docs/5.1.2","Transport and Dumping General Functional Variables;Transport and Dumping General Methods;"
5001,http://opcfoundation.org/UA/Mining/TransportDumping/General/,"https://reference.opcfoundation.org/Mining/TransportDumping/General/v100/docs/7.1",""
7001,LoadingComplete,"https://reference.opcfoundation.org/Mining/TransportDumping/General/v100/docs/5.1.5",""
7002,StartPositioning,"https://reference.opcfoundation.org/Mining/TransportDumping/General/v100/docs/5.1.7",""
7003,SetQueuePriority,"https://reference.opcfoundation.org/Mining/TransportDumping/General/v100/docs/5.1.6",""
7004,StartUnloading,"https://reference.opcfoundation.org/Mining/TransportDumping/General/v100/docs/5.1.8",""
7005,StopUnloading,"https://reference.opcfoundation.org/Mining/TransportDumping/General/v100/docs/5.1.10",""
7006,JoinQueue,"https://reference.opcfoundation.org/Mining/TransportDumping/General/v100/docs/5.1.4",""
7007,ClearSpot,"https://reference.opcfoundation.org/Mining/TransportDumping/General/v100/docs/5.1.3",""
7008,StopPositioning,"https://reference.opcfoundation.org/Mining/TransportDumping/General/v100/docs/5.1.9",""
