Id,Name,Link,ConformanceUnits
1002,ExtrusionDeviceType,"https://reference.opcfoundation.org/v104/PlasticsRubber/Extrusion/GeneralTypes/v101/docs/7.1","ExtrusionDeviceType;"
1003,GapType,"https://reference.opcfoundation.org/v104/PlasticsRubber/Extrusion/GeneralTypes/v101/docs/10.4.1",""
1004,GapsType,"https://reference.opcfoundation.org/v104/PlasticsRubber/Extrusion/GeneralTypes/v101/docs/10.3",""
1005,RollType,"https://reference.opcfoundation.org/v104/PlasticsRubber/Extrusion/GeneralTypes/v101/docs/10.2.1",""
1006,RollsType,"https://reference.opcfoundation.org/v104/PlasticsRubber/Extrusion/GeneralTypes/v101/docs/10.1",""
1007,RollBendingType,"https://reference.opcfoundation.org/v104/PlasticsRubber/Extrusion/GeneralTypes/v101/docs/10.2.8",""
1008,RollPeripheralDevicesType,"https://reference.opcfoundation.org/v104/PlasticsRubber/Extrusion/GeneralTypes/v101/docs/10.2.7",""
1009,ExtrusionExecutingSubState_StateMachineType,"https://reference.opcfoundation.org/v104/PlasticsRubber/Extrusion/GeneralTypes/v101/docs/7.4.2","ExtrusionDeviceType;"
1010,ExtrusionMachineryItemState_StateMachineType,"https://reference.opcfoundation.org/v104/PlasticsRubber/Extrusion/GeneralTypes/v101/docs/7.4.1",""
1016,ExtrusionTemperatureZoneType,"https://reference.opcfoundation.org/v104/PlasticsRubber/Extrusion/GeneralTypes/v101/docs/9.2.1",""
1017,ExtrusionTemperatureZonesType,"https://reference.opcfoundation.org/v104/PlasticsRubber/Extrusion/GeneralTypes/v101/docs/9.1",""
3001,ExtrusionMessageClassificationEnumeration,"https://reference.opcfoundation.org/v104/PlasticsRubber/Extrusion/GeneralTypes/v101/docs/8",""
5025,http://opcfoundation.org/UA/PlasticsRubber/Extrusion/GeneralTypes/,"https://reference.opcfoundation.org/v104/PlasticsRubber/Extrusion/GeneralTypes/v101/docs/12.1",""
