Id,Name,Link,ConformanceUnits
1,Boolean,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.2","Base Info Base Types;"
2,SByte,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.9","Base Info Base Types;"
3,Byte,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.11","Base Info Base Types;"
4,Int16,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.6","Base Info Base Types;"
5,UInt16,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.12","Base Info Base Types;"
6,Int32,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.7","Base Info Base Types;"
7,UInt32,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.14","Base Info Base Types;"
8,Int64,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.8","Base Info Base Types;"
9,UInt64,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.15","Base Info Base Types;"
10,Float,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.4","Base Info Base Types;"
11,Double,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.2","Base Info Base Types;"
12,String,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.11","Base Info Base Types;"
13,DateTime,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.4","Base Info Base Types;"
14,Guid,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.6","Base Info Base Types;"
15,ByteString,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.3","Base Info Base Types;"
16,XmlElement,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.13","Base Info Base Types;"
17,NodeId,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.8","Base Info Base Types;"
18,ExpandedNodeId,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.3.9","Base Info Base Types;"
19,StatusCode,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.3.14","Base Info Base Types;"
20,QualifiedName,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.10","Base Info Base Types;"
21,LocalizedText,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.7","Base Info Base Types;"
22,Structure,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.12","Base Info Base Types;"
23,DataValue,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.3.5","Base Info Base Types;"
24,BaseDataType,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.1","Base Info Base Types;"
25,DiagnosticInfo,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.3.8","Base Info Base Types;"
26,Number,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9","Base Info Base Types;"
27,Integer,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.5","Base Info Base Types;"
28,UInteger,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.10","Base Info Base Types;"
29,Enumeration,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.5","Base Info Base Types;"
30,Image,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.3/#12.2.3.2","Base Info Image DataTypes;"
31,References,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.1","Base Info Base Types;"
32,NonHierarchicalReferences,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.3","Base Info Base Types;"
33,HierarchicalReferences,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.2","Base Info Base Types;"
34,HasChild,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.4","Base Info Base Types;"
35,Organizes,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.6","Base Info Base Types;"
36,HasEventSource,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.14","Address Space Source Hierarchy;"
37,HasModellingRule,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.11","Base Info Base Types;"
38,HasEncoding,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.13","Base Info Base Types;"
39,HasDescription,"https://reference.opcfoundation.org/v104/Core/docs/Part5/D.5.1",""
40,HasTypeDefinition,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.12","Base Info Base Types;"
41,GeneratesEvent,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.16","Address Space Events 2;"
44,Aggregates,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.5","Base Info Base Types;"
45,HasSubtype,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.10","Base Info Base Types;"
46,HasProperty,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.9","Base Info Base Types;"
47,HasComponent,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.7","Base Info Base Types;"
48,HasNotifier,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.15","Address Space Notifier Hierarchy;"
49,HasOrderedComponent,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.8","Base Info HasOrderedComponent;"
50,Decimal,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.1","Base Info Decimal DataType;"
51,FromState,"https://reference.opcfoundation.org/v105/Core/docs/Part16/4.4.11","Base Info Finite State Machine Instance;"
52,ToState,"https://reference.opcfoundation.org/v105/Core/docs/Part16/4.4.12","Base Info Finite State Machine Instance;"
53,HasCause,"https://reference.opcfoundation.org/v105/Core/docs/Part16/4.4.13","Base Info Finite State Machine Instance;"
54,HasEffect,"https://reference.opcfoundation.org/v105/Core/docs/Part16/4.4.14","Base Info Finite State Machine Instance;"
56,HasHistoricalConfiguration,"https://reference.opcfoundation.org/v104/Core/docs/Part11/5.2.3",""
58,BaseObjectType,"https://reference.opcfoundation.org/v105/Core/docs/Part5/6.2","Base Info Base Types;"
61,FolderType,"https://reference.opcfoundation.org/v105/Core/docs/Part5/6.6","Base Info Base Types;"
62,BaseVariableType,"https://reference.opcfoundation.org/v105/Core/docs/Part5/7.2","Base Info Base Types;"
63,BaseDataVariableType,"https://reference.opcfoundation.org/v105/Core/docs/Part5/7.4","Base Info Base Types;"
68,PropertyType,"https://reference.opcfoundation.org/v105/Core/docs/Part5/7.3","Base Info Base Types;"
69,DataTypeDescriptionType,"https://reference.opcfoundation.org/v104/Core/docs/Part5/D.5.3",""
72,DataTypeDictionaryType,"https://reference.opcfoundation.org/v104/Core/docs/Part5/D.5.2",""
75,DataTypeSystemType,"https://reference.opcfoundation.org/v104/Core/docs/Part5/D.5.4",""
76,DataTypeEncodingType,"https://reference.opcfoundation.org/v105/Core/docs/Part5/6.7","Base Info Base Types;"
77,ModellingRuleType,"https://reference.opcfoundation.org/v105/Core/docs/Part5/6.5","Base Info Base Types;"
78,Mandatory,"https://reference.opcfoundation.org/v105/Core/docs/Part5/8.3.4","Base Info Base Types;"
80,Optional,"https://reference.opcfoundation.org/v105/Core/docs/Part5/8.3.5","Base Info Base Types;"
83,ExposesItsArray,"https://reference.opcfoundation.org/v105/Core/docs/Part5/8.3.3","Base Info Base Types;"
84,Root,"https://reference.opcfoundation.org/v105/Core/docs/Part5/8.2.2","Base Info Core Structure 2;"
85,Objects,"https://reference.opcfoundation.org/v105/Core/docs/Part5/8.2.4","Base Info Core Structure 2;"
86,Types,"https://reference.opcfoundation.org/v105/Core/docs/Part5/8.2.5","Base Info Core Types Folders;"
87,Views,"https://reference.opcfoundation.org/v105/Core/docs/Part5/8.2.3","Base Info Core Views Folder;"
88,ObjectTypes,"https://reference.opcfoundation.org/v105/Core/docs/Part5/8.2.6","Base Info Core Types Folders;"
89,VariableTypes,"https://reference.opcfoundation.org/v105/Core/docs/Part5/8.2.7","Base Info Core Types Folders;"
90,DataTypes,"https://reference.opcfoundation.org/v105/Core/docs/Part5/8.2.9","Base Info Core Types Folders;"
91,ReferenceTypes,"https://reference.opcfoundation.org/v105/Core/docs/Part5/8.2.8","Base Info Core Types Folders;"
94,PermissionType,"https://reference.opcfoundation.org/v105/Core/docs/Part3/8.55",""
95,AccessRestrictionType,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.13","Security Role Server Base;"
96,RolePermissionType,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.12/#12.2.12.9","Security Role Server Base;"
97,DataTypeDefinition,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.12/#12.2.12.3","Address Space DataTypeDefinition Attribute;"
98,StructureType,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.5/#12.2.5.3","Address Space DataTypeDefinition Attribute;"
99,StructureDefinition,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.12/#12.2.12.5","Address Space DataTypeDefinition Attribute;"
100,EnumDefinition,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.12/#12.2.12.4","Address Space DataTypeDefinition Attribute;"
101,StructureField,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.12/#12.2.12.10","Address Space DataTypeDefinition Attribute;"
102,EnumField,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.12/#12.2.12.7","Address Space DataTypeDefinition Attribute;"
117,HasSubStateMachine,"https://reference.opcfoundation.org/v105/Core/docs/Part16/4.4.15","Base Info Finite State Machine Instance;"
120,NamingRuleType,"https://reference.opcfoundation.org/v104/Core/docs/Part3/8.29",""
129,HasArgumentDescription,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.18","Address Space Method Meta Data;"
131,HasOptionalInputArgumentDescription,"https://reference.opcfoundation.org/v105/Core/docs/Part5/11.19","Address Space Method Meta Data;"
256,IdType,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.5/#12.2.5.1","Base Info Base Types;"
257,NodeClass,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.5/#12.2.5.2","Base Info Base Types;"
258,Node,"https://reference.opcfoundation.org/v105/Core/docs/Part3/4.3.1",""
261,ObjectNode,"",""
264,ObjectTypeNode,"",""
267,VariableNode,"",""
270,VariableTypeNode,"",""
273,ReferenceTypeNode,"",""
276,MethodNode,"",""
279,ViewNode,"",""
282,DataTypeNode,"",""
285,ReferenceNode,"",""
288,IntegerId,"https://reference.opcfoundation.org/v105/Core/docs/Part4/7.19",""
289,Counter,"https://reference.opcfoundation.org/v105/Core/docs/Part4/7.8",""
290,Duration,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.9/#12.2.9.3","Base Info Base Types;"
291,NumericRange,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.3.11","Base Info Base Types;"
294,UtcTime,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.4/#12.2.4.1","Base Info Base Types;"
295,LocaleId,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.11/#12.2.11.1","Base Info ServerType;"
296,Argument,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.2.12/#12.2.12.1","Base Info Method Argument DataType;"
299,StatusResult,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.14","Base Info StatusResult DataType;"
302,MessageSecurityMode,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.3.10","Base Info ServerType;"
303,UserTokenType,"https://reference.opcfoundation.org/v105/Core/docs/Part4/7.43",""
304,UserTokenPolicy,"https://reference.opcfoundation.org/v105/Core/docs/Part4/7.42",""
307,ApplicationType,"https://reference.opcfoundation.org/v105/Core/docs/Part4/7.4",""
308,ApplicationDescription,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.3.3","Base Info ServerType;"
311,ApplicationInstanceCertificate,"https://reference.opcfoundation.org/v105/Core/docs/Part4/7.3",""
312,EndpointDescription,"https://reference.opcfoundation.org/v105/Core/docs/Part4/7.14",""
315,SecurityTokenRequestType,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.3.12","Auditing Connections;"
316,UserIdentityToken,"https://reference.opcfoundation.org/v105/Core/docs/Part5/12.3.15","Auditing Connections;"
