UNECECode,UnitId,DisplayName,Description
C81,4405297,"rad","radian"
C25,4403765,"mrad","milliradian"
B97,4340023,"µrad","microradian"
DD,17476,"°","degree [unit of angle]"
D61,4470321,"'","minute [unit of angle]"
D62,4470322,"""","second [unit of angle]"
A91,4274481,"gon","gon"
M43,5059635,"mil","mil"
M44,5059636,"rev","revolution"
D27,4469303,"sr","steradian"
H57,4732215,"in/revolution","inch per two pi radiant"
MTR,5067858,"m","metre"
E96,4536630,"°/s","degree per second"
H27,4731447,"°/m","degree per metre"
M55,5059893,"m/rad","metre per radiant"
DMT,4476244,"dm","decimetre"
CMT,4410708,"cm","centimetre"
4H,13384,"µm","micrometre (micron)"
MMT,5066068,"mm","millimetre"
HMT,4738388,"hm","hectometre"
KMT,4934996,"km","kilometre"
C45,4404277,"nm","nanometre"
C52,4404530,"pm","picometre"
A71,4273969,"fm","femtometre"
A45,4273205,"dam","decametre"
NMI,5131593,"n mile","nautical mile"
A11,4272433,"Å","angstrom"
A12,4272434,"ua","astronomical unit"
C63,4404787,"pc","parsec"
F52,4601138,"m/K","metre per kelvin"
F50,4601136,"µm/K","micrometre per kelvin"
F51,4601137,"cm/K","centimetre per kelvin"
G06,4665398,"mm/bar","millimetre per bar"
H84,4732980,"g·mm","gram millimetre"
G04,4665396,"cm/bar","centimetre per bar"
G05,4665397,"m/bar","metre per bar"
H79,4732729,"Fg","French gauge"
AK,16715,"fth","fathom"
X1,22577,"ch (UK)","Gunter's chain"
INH,4804168,"in","inch"
M7,19767,"µin","micro-inch"
FOT,4607828,"ft","foot"
YRD,5853764,"yd","yard"
SMI,5459273,"mile","mile (statute mile)"
77,14135,"mil","milli-inch"
B57,4338999,"ly","light year"
F49,4600889,"rd (US)","rod [unit of distance]"
MAM,5062989,"Mm","megametre"
K13,4927795,"ft/°F","foot per degree Fahrenheit"
K17,4927799,"ft/psi","foot per psi"
K45,4928565,"in/°F","inch per degree Fahrenheit"
K46,4928566,"in/psi","inch per psi"
L98,4995384,"yd/°F","yard per degree Fahrenheit"
L99,4995385,"yd/psi","yard per psi"
M49,5059641,"ch (US survey)","chain (based on U.S. survey foot)"
M50,5059888,"fur","furlong"
M51,5059889,"ft (US survey)","foot (U.S. survey)"
M52,5059890,"mi (US survey)","mile (based on U.S. survey foot)"
M53,5059891,"m/Pa","metre per pascal"
MTK,5067851,"m²","square metre"
KMK,4934987,"km²","square kilometre"
H30,4731696,"µm²","square micrometre (square micron)"
H59,4732217,"m²/N","square metre per newton"
DAA,4473153,"daa","decare"
CMK,4410699,"cm²","square centimetre"
DMK,4476235,"dm²","square decimetre"
H16,4731190,"dam²","square decametre"
H18,4731192,"hm²","square hectometre"
MMK,5066059,"mm²","square millimetre"
ARE,4280901,"a","are"
HAR,4735314,"ha","hectare"
INK,4804171,"in²","square inch"
FTK,4609099,"ft²","square foot"
YDK,5850187,"yd²","square yard"
MIK,5065035,"mi²","square mile (statute mile)"
M48,5059640,"mi² (US survey)","square mile (based on U.S. survey foot)"
ACR,4277074,"acre","acre"
M47,5059639,"cmil","circular mil"
MTQ,5067857,"m³","cubic metre"
MAL,5062988,"Ml","megalitre"
LTR,5002322,"l","litre"
MMQ,5066065,"mm³","cubic millimetre"
CMQ,4410705,"cm³","cubic centimetre"
DMQ,4476241,"dm³","cubic decimetre"
MLT,5065812,"ml","millilitre"
HLT,4738132,"hl","hectolitre"
CLT,4410452,"cl","centilitre"
DMA,4476225,"dam³","cubic decametre"
H19,4731193,"hm³","cubic hectometre"
H20,4731440,"km³","cubic kilometre"
M71,5060401,"m³/Pa","cubic metre per pascal"
DLT,4475988,"dl","decilitre"
4G,13383,"µl","microlitre"
K6,19254,"kl","kilolitre"
